time,Coal,Cogeneration,Combined Cycle (Gas),Eolic,Hydraulic,Non-Renewable Residues,Nuclear,Pumped Storage Hydropower,Renewables Other,Solar Photovoltaic,Solar Thermal
2022-09-01 00:00:00,695.0,1155.1,14748.95,4387.05,899.675,273.7,6869.9,201.6,516.6,1.0,287.7
2022-09-01 01:00:00,750.0,1162.1,14255.6,4008.9,850.2,271.6,6881.9,117.7,514.4,1.0,247.7
2022-09-01 02:00:00,777.5,1153.9,13644.75,3547.5,798.1,272.6,6873.9,78.0,512.7,1.2,239.7
2022-09-01 03:00:00,802.5,1146.0,13736.5,3188.65,795.5,273.0,6879.9,78.0,512.5,0.2,209.7
2022-09-01 04:00:00,816.25,1152.8,13706.825,2594.225,821.6,271.7,6873.9,78.1,513.1,0.4,231.5
2022-09-01 05:00:00,819.0,1148.9,13978.825,2148.475,867.2,272.7,6876.9,118.5,511.6,0.6,182.5
2022-09-01 06:00:00,805.0,1127.3,15290.1,1830.45,941.2,273.3,6879.9,369.25,512.6,0.8,49.5
2022-09-01 07:00:00,825.0,1153.4,15671.375,1413.775,1262.525,276.6,6885.9,863.325,512.3,226.9,9.6
2022-09-01 08:00:00,825.0,1177.5,15672.675,1160.175,1429.325,275.8,6884.9,904.425,519.4,1787.3,9.6
2022-09-01 09:00:00,815.0,1178.4,15375.35,891.95,1142.5,275.3,6882.9,613.1,519.1,5351.2,121.0
2022-09-01 10:00:00,815.0,1163.2,14983.875,709.15,902.3,275.3,6878.9,428.0,518.8,8221.625,772.8
2022-09-01 11:00:00,815.0,1150.1,14635.3,751.55,826.7,275.1,6870.9,0.0,517.7,9742.1,1237.9
2022-09-01 12:00:00,825.0,1153.3,14798.7,903.25,857.4,275.1,6863.9,120.575,517.1,10447.775,1248.3
2022-09-01 13:00:00,825.0,1123.3,14813.4,1262.925,832.675,265.1,6862.9,329.525,518.1,10550.575,1340.7
2022-09-01 14:00:00,825.0,1123.0,14603.2,1738.65,803.1,275.4,6857.9,53.925,517.8,10402.525,1234.1
2022-09-01 15:00:00,825.0,1116.7,14601.75,2289.275,749.75,274.4,6850.9,0.0,514.9,10027.45,976.9
2022-09-01 16:00:00,825.0,1111.9,14707.15,2801.693,747.3,271.4,6846.9,154.025,515.9,9164.725,946.9
2022-09-01 17:00:00,825.0,1113.2,15104.45,3349.325,769.25,272.5,6845.9,328.9,500.5,7749.375,1057.6
2022-09-01 18:00:00,825.0,1128.5,15059.125,3734.975,842.275,272.9,6843.9,701.875,522.9,5452.525,970.4
2022-09-01 19:00:00,825.0,1164.3,16510.55,3819.35,1188.5,271.5,6846.9,926.175,501.4,2509.025,818.1
2022-09-01 20:00:00,825.0,1162.9,16628.25,3960.525,1240.8,271.2,6850.9,1356.1,545.0,458.725,379.3
2022-09-01 21:00:00,825.0,1248.4,16908.15,4495.475,1601.125,271.6,6858.9,1511.1,544.3,22.3,189.2
2022-09-01 22:00:00,825.0,1165.9,16361.975,4581.775,1362.15,271.6,6861.9,1046.225,548.5,2.3,89.5
2022-09-01 23:00:00,825.0,1161.1,15893.025,4564.55,972.15,271.9,6862.9,507.575,534.1,1.5,34.5
2022-09-02 00:00:00,825.0,1127.6,14902.55,4788.5,815.75,272.5,6870.7,445.5,539.0,0.2,9.5
2022-09-02 01:00:00,825.0,1126.5,14214.4,4638.6,768.5,274.1,6874.7,428.4,535.1,0.8,9.5
2022-09-02 02:00:00,825.0,1107.5,13775.75,4434.25,748.0,273.9,6870.7,158.0,534.9,1.0,9.5
2022-09-02 03:00:00,825.0,1108.0,13793.3,3953.175,742.3,274.3,6868.7,158.0,524.9,1.2,9.5
2022-09-02 04:00:00,825.0,1107.3,13651.6,3560.375,756.3,275.2,6872.7,158.5,521.3,0.3,9.5
2022-09-02 05:00:00,825.0,1129.1,13940.825,3345.225,772.5,275.4,6869.7,297.4,518.8,0.5,9.5
2022-09-02 06:00:00,825.0,1133.2,14802.3,3189.3,928.8,274.9,6873.7,287.075,519.1,0.8,9.5
2022-09-02 07:00:00,825.0,1152.7,15605.0,3059.2,1120.6,275.3,6873.7,831.8,494.0,122.9,15.5
